Compound,Group,Meta_PA_6hr,Meta_PA_12hr,Meta_PA_18hr,Meta_SA_6hr,Meta_SA_12hr,Meta_SA_18hr,Meta_C_6hr,Meta_C_12hr,Meta_C_18hr
L-Arginine,extracellular,1206.22,1206.22,1206.22,868.0733333,868.0733333,868.0733333,2063.38,2063.38,2063.38
L-Arginine influx,link,0,0,0,0,0,0,1,1,1
L-Arginine outflux,link,5.785368325,5.785368325,5.785368325,7.593511216,7.593511216,7.593511216,1,1,1
L-Citrulline,intracellular,13.63333333,13.63333333,13.63333333,58.73333333,58.73333333,58.73333333,12.86009707,12.86009707,12.86009707
L-Citrulline influx,link,1.750836018,1.750836018,1.750836018,0,0,0,1,1,1
L-Citrulline outflux,link,0,0,0,2.030233119,2.030233119,2.030233119,1,1,1
L-Glutamine,extracellular,588.4085563,588.4085563,588.4085563,732.4434115,732.4434115,732.4434115,1448.89448,1448.89448,1448.89448
L-Glutamine influx,link,4.687377938,4.687377938,4.687377938,0,0,0,1,1,1
L-Glutamine outflux,link,0,0,0,0.992880306,0.992880306,0.992880306,1,1,1
L-Ornithine,intracellular,1340.67,1340.67,1340.67,761.4166667,761.4166667,761.4166667,2386.850643,2386.850643,2386.850643
L-Ornithine influx,link,0,0,0,7.705316748,7.705316748,7.705316748,1,1,1
L-Ornithine outflux,link,5.739079163,5.739079163,5.739079163,7.705316748,7.705316748,7.705316748,1,1,1
