path:ko00010	Glycolysis / Gluconeogenesis
path:ko00020	Citrate cycle (TCA cycle)
path:ko00030	Pentose phosphate pathway
path:ko00040	Pentose and glucuronate interconversions
path:ko00051	Fructose and mannose metabolism
path:ko00052	Galactose metabolism
path:ko00053	Ascorbate and aldarate metabolism
path:ko00061	Fatty acid biosynthesis
path:ko00062	Fatty acid elongation
path:ko00071	Fatty acid degradation
path:ko00072	Synthesis and degradation of ketone bodies
path:ko00073	Cutin, suberine and wax biosynthesis
path:ko00100	Steroid biosynthesis
path:ko00120	Primary bile acid biosynthesis
path:ko00121	Secondary bile acid biosynthesis
path:ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
path:ko00140	Steroid hormone biosynthesis
path:ko00190	Oxidative phosphorylation
path:ko00195	Photosynthesis
path:ko00196	Photosynthesis - antenna proteins
path:ko00220	Arginine biosynthesis
path:ko00230	Purine metabolism
path:ko00232	Caffeine metabolism
path:ko00240	Pyrimidine metabolism
path:ko00250	Alanine, aspartate and glutamate metabolism
path:ko00253	Tetracycline biosynthesis
path:ko00254	Aflatoxin biosynthesis
path:ko00260	Glycine, serine and threonine metabolism
path:ko00261	Monobactam biosynthesis
path:ko00270	Cysteine and methionine metabolism
path:ko00280	Valine, leucine and isoleucine degradation
path:ko00281	Geraniol degradation
path:ko00290	Valine, leucine and isoleucine biosynthesis
path:ko00300	Lysine biosynthesis
path:ko00310	Lysine degradation
path:ko00311	Penicillin and cephalosporin biosynthesis
path:ko00330	Arginine and proline metabolism
path:ko00331	Clavulanic acid biosynthesis
path:ko00332	Carbapenem biosynthesis
path:ko00333	Prodigiosin biosynthesis
path:ko00340	Histidine metabolism
path:ko00350	Tyrosine metabolism
path:ko00360	Phenylalanine metabolism
path:ko00361	Chlorocyclohexane and chlorobenzene degradation
path:ko00362	Benzoate degradation
path:ko00363	Bisphenol degradation
path:ko00364	Fluorobenzoate degradation
path:ko00365	Furfural degradation
path:ko00380	Tryptophan metabolism
path:ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
path:ko00401	Novobiocin biosynthesis
path:ko00402	Benzoxazinoid biosynthesis
path:ko00403	Indole diterpene alkaloid biosynthesis
path:ko00404	Staurosporine biosynthesis
path:ko00405	Phenazine biosynthesis
path:ko00410	beta-Alanine metabolism
path:ko00430	Taurine and hypotaurine metabolism
path:ko00440	Phosphonate and phosphinate metabolism
path:ko00450	Selenocompound metabolism
path:ko00460	Cyanoamino acid metabolism
path:ko00471	D-Glutamine and D-glutamate metabolism
path:ko00472	D-Arginine and D-ornithine metabolism
path:ko00473	D-Alanine metabolism
path:ko00480	Glutathione metabolism
path:ko00500	Starch and sucrose metabolism
path:ko00510	N-Glycan biosynthesis
path:ko00511	Other glycan degradation
path:ko00512	Mucin type O-glycan biosynthesis
path:ko00513	Various types of N-glycan biosynthesis
path:ko00514	Other types of O-glycan biosynthesis
path:ko00515	Mannose type O-glycan biosynthesis
path:ko00520	Amino sugar and nucleotide sugar metabolism
path:ko00521	Streptomycin biosynthesis
path:ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides
path:ko00523	Polyketide sugar unit biosynthesis
path:ko00524	Neomycin, kanamycin and gentamicin biosynthesis
path:ko00525	Acarbose and validamycin biosynthesis
path:ko00531	Glycosaminoglycan degradation
path:ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
path:ko00533	Glycosaminoglycan biosynthesis - keratan sulfate
path:ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
path:ko00540	Lipopolysaccharide biosynthesis
path:ko00541	O-Antigen nucleotide sugar biosynthesis
path:ko00542	O-Antigen repeat unit biosynthesis
path:ko00550	Peptidoglycan biosynthesis
path:ko00561	Glycerolipid metabolism
path:ko00562	Inositol phosphate metabolism
path:ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
path:ko00564	Glycerophospholipid metabolism
path:ko00565	Ether lipid metabolism
path:ko00571	Lipoarabinomannan (LAM) biosynthesis
path:ko00572	Arabinogalactan biosynthesis - Mycobacterium
path:ko00590	Arachidonic acid metabolism
path:ko00591	Linoleic acid metabolism
path:ko00592	alpha-Linolenic acid metabolism
path:ko00600	Sphingolipid metabolism
path:ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series
path:ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series
path:ko00604	Glycosphingolipid biosynthesis - ganglio series
path:ko00620	Pyruvate metabolism
path:ko00621	Dioxin degradation
path:ko00622	Xylene degradation
path:ko00623	Toluene degradation
path:ko00624	Polycyclic aromatic hydrocarbon degradation
path:ko00625	Chloroalkane and chloroalkene degradation
path:ko00626	Naphthalene degradation
path:ko00627	Aminobenzoate degradation
path:ko00630	Glyoxylate and dicarboxylate metabolism
path:ko00633	Nitrotoluene degradation
path:ko00640	Propanoate metabolism
path:ko00642	Ethylbenzene degradation
path:ko00643	Styrene degradation
path:ko00650	Butanoate metabolism
path:ko00660	C5-Branched dibasic acid metabolism
path:ko00670	One carbon pool by folate
path:ko00680	Methane metabolism
path:ko00710	Carbon fixation in photosynthetic organisms
path:ko00720	Carbon fixation pathways in prokaryotes
path:ko00730	Thiamine metabolism
path:ko00740	Riboflavin metabolism
path:ko00750	Vitamin B6 metabolism
path:ko00760	Nicotinate and nicotinamide metabolism
path:ko00770	Pantothenate and CoA biosynthesis
path:ko00780	Biotin metabolism
path:ko00785	Lipoic acid metabolism
path:ko00790	Folate biosynthesis
path:ko00791	Atrazine degradation
path:ko00830	Retinol metabolism
path:ko00860	Porphyrin and chlorophyll metabolism
path:ko00900	Terpenoid backbone biosynthesis
path:ko00901	Indole alkaloid biosynthesis
path:ko00902	Monoterpenoid biosynthesis
path:ko00903	Limonene and pinene degradation
path:ko00904	Diterpenoid biosynthesis
path:ko00905	Brassinosteroid biosynthesis
path:ko00906	Carotenoid biosynthesis
path:ko00908	Zeatin biosynthesis
path:ko00909	Sesquiterpenoid and triterpenoid biosynthesis
path:ko00910	Nitrogen metabolism
path:ko00920	Sulfur metabolism
path:ko00930	Caprolactam degradation
path:ko00940	Phenylpropanoid biosynthesis
path:ko00941	Flavonoid biosynthesis
path:ko00942	Anthocyanin biosynthesis
path:ko00943	Isoflavonoid biosynthesis
path:ko00944	Flavone and flavonol biosynthesis
path:ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
path:ko00950	Isoquinoline alkaloid biosynthesis
