T01001	hsa	Homo sapiens (human)	Eukaryotes;Animals;Vertebrates;Mammals
T00007	eco	Escherichia coli K-12 MG1655	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00068	ecj	Escherichia coli K-12 W3110	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00666	ecd	Escherichia coli K-12 DH10B	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00913	ebw	Escherichia coli K-12 BW2952	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02541	ecok	Escherichia coli K-12 MDS42	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00044	ece	Escherichia coli O157:H7 EDL933 (EHEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00048	ecs	Escherichia coli O157:H7 Sakai (EHEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00778	ecf	Escherichia coli O157:H7 EC4115 (EHEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00949	etw	Escherichia coli O157:H7 TW14359 (EHEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02122	elx	Escherichia coli O157:H7 Xuzhou21 (EHEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T01097	eoi	Escherichia coli O111:H- 11128 (EHEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T01098	eoj	Escherichia coli O26:H11 11368 (EHEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T01096	eoh	Escherichia coli O103:H2 12009 (EHEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T03010	ecoo	Escherichia coli O145:H28 RM13514 (EHEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T03011	ecoh	Escherichia coli O145:H28 RM13516 (EHEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02257	esl	Escherichia coli O104:H4 2011C-3493 (EAEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02256	eso	Escherichia coli O104:H4 2009EL-2071 (EAEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02316	esm	Escherichia coli O104:H4 2009EL-2050 (EAEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00826	eck	Escherichia coli 55989 (EAEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00796	ecg	Escherichia coli O127:H6 E2348/69 (EPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T01190	eok	Escherichia coli O55:H7 CB9615 (EPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02066	elr	Escherichia coli O55:H7 RM12579 (EPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02069	elh	Escherichia coli O78:H11:K80 H10407 (ETEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00590	ecw	Escherichia coli O139:H28 E24377A (ETEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02001	eun	Escherichia coli UMNK88 (ETEC, porcine)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00373	ecp	Escherichia coli O6:K15:H31 536 (UPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T01998	ena	Escherichia coli NA114 (UPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T04373	ecos	Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00425	ecv	Escherichia coli APEC O1 (APEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02445	ecoa	Escherichia coli APEC O78 (APEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00591	ecx	Escherichia coli O9 HS (commensal)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00672	ecm	Escherichia coli SMS-3-5 (environmental)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00784	ecy	Escherichia coli O152:H28 SE11 (commensal)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00828	ecr	Escherichia coli O8 IAI1 (commensal)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00827	ecq	Escherichia coli O81 ED1a (commensal)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00831	eum	Escherichia coli O17:K52:H18 UMN026 (ExPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00829	ect	Escherichia coli O7:K1 IAI39 (ExPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T01999	eoc	Escherichia coli O7:K1 CE10	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00944	ebr	Escherichia coli B REL606	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00931	ebl	Escherichia coli BL21(DE3)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02096	ebe	Escherichia coli BL21(DE3)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00939	ebd	Escherichia coli BL21-Gold(DE3)pLysS AG	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00338	eci	Escherichia coli O18:K1:H7 UTI89 (UPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T01997	eih	Escherichia coli O18:K1:H7 IHE3034 (ExPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00830	ecz	Escherichia coli O45:K1:H7 S88 (ExPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00106	ecc	Escherichia coli O6:K2:H1 CFT073 (UPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02067	elo	Escherichia coli O44:H18 042 (EAEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02068	eln	Escherichia coli O83:H1 NRG 857C (AIEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02077	ese	Escherichia coli O150:H5 SE15 (commensal)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00697	ecl	Escherichia coli ATCC 8739	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T01718	eko	Escherichia coli KO11FL	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02104	ekf	Escherichia coli KO11FL	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T01995	eab	Escherichia coli ABU 83972	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T01996	edh	Escherichia coli DH1	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02102	edj	Escherichia coli DH1	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02000	elu	Escherichia coli UM146	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02002	elw	Escherichia coli W	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02101	ell	Escherichia coli W	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02003	elc	Escherichia coli clone D i14	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02004	eld	Escherichia coli clone D i2	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02030	elp	Escherichia coli P12b	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00854	elf	Escherichia coli LF82	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02846	ecol	Escherichia coli LY180	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02847	ecoi	Escherichia coli O18:K1 PMV-1 (ExPEC)	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T02896	ecoj	Escherichia coli JJ1886	Prokaryotes;Bacteria;Gammaproteobacteria - Enterobacteria;Escherichia
T00012	bbu	Borreliella burgdorferi B31	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T00807	bbz	Borreliella burgdorferi ZS7	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T02075	bbn	Borreliella burgdorferi N40	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T02081	bbj	Borreliella burgdorferi JD1	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T02794	bbur	Borreliella burgdorferi CA382	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T00194	bga	Borreliella bavariensis	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T02048	bgb	Borreliella garinii BgVir	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T02299	bgn	Borreliella garinii NMJW1	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T03259	bgs	Borreliella garinii SZ	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T04731	bgc	Borreliella garinii CIP 103362	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T00383	baf	Borrelia afzelii (FLI)	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T02093	bafz	Borrelia afzelii (Maryland)	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T02298	bafh	Borreliella afzelii HLJ01	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T03256	baft	Borreliella afzelii Tom3107	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T03895	bafe	Borreliella afzelii K78	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T01593	bbs	Borreliella bissettii	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T03221	bvt	Borreliella valaisiana	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T03543	bchi	Borreliella chilensis	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T04886	bmay	Borreliella mayonii	Prokaryotes;Bacteria;Spirochaetes;Borreliella
T00737	btu	Borrelia turicatae	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T00764	bhr	Borrelia hermsii DAH	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T03871	bhi	Borrelia hermsii CC1	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T00768	bdu	Borrelia duttonii	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T00769	bre	Borrelia recurrentis	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T02051	bcw	Borrelia crocidurae	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T02797	bmo	Borrelia miyamotoi LB-2001	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T03577	bmiy	Borrelia miyamotoi CT14D4	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T03987	bpak	Borrelia parkeri	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T04727	bane	Borrelia anserina	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T05670	btur	Borrelia turcica	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T07005	bmat	Borrelia maritima	Prokaryotes;Bacteria;Spirochaetes;Borrelia
T00001	hin	Haemophilus influenzae Rd KW20 (serotype d)	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Haemophilus
T00248	hit	Haemophilus influenzae 86-028NP (nontypeable)	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Haemophilus
T00543	hip	Haemophilus influenzae PittEE (nontypeable)	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Haemophilus
T00544	hiq	Haemophilus influenzae PittGG (nontypeable)	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Haemophilus
T01395	hif	Haemophilus influenzae F3031 (nontypeable)	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Haemophilus
T01400	hil	Haemophilus influenzae F3047 (nontypeable)	Prokaryotes;Bacteria;Gammaproteobacteria - Others;Haemophilus
